Name,Score,Price,Design,Reason
Emily,70,90,65,I would consider buying them if there were more stylish colors available
Michael,70,90,70,I would consider buying them if the material were moisture-wicking
Sarah,80,95,80,If there were more colors I would consider buying them
David,90,100,100,
Alex,80,90,80,If there were more artistic designs I would buy them
Carlos,80,90,70,If I knew the material breathability I would buy this shirt
Lisa,70,95,80,If this shirt had stain-resistant material I would buy it
Brandon,85,95,90,
Katie,70,90,70,If this shirt had better moisture-wicking I would buy it
Sean,90,100,100,
