Name,Score,Price,Design,Reason
Emily,10,30,20,Not relevant to professional image or needs
Michael,10,40,20,Doesn't align with his style or needs
Sarah,75,80,75,If it had a more unique design
David,5,10,5,No interest in sports-themed apparel
Alex,65,70,70,If it had a more unique or artistic design
Carlos,10,20,10,Not relevant to professional or personal needs
Lisa,70,75,70,If it were on sale she might buy it for her child
Brandon,65,70,60,If it was on clearance
Katie,30,50,30,Not her style
Sean,5,10,5,Not relevant to his needs
