Name,Score,Like Description,Dislike
Emily, Shoes, 50, 60, 70,  If the shoes were geared towards high-performance training she would consider buying them
Emily, ChefT-Shirt, 20, 80, 10, 
Emily, TrendT-Shirt, 30, 80, 20, 
Emily, FullZip, 80, 65, 90, 
Emily, SportsBra, 70, 75, 80,  If there were more color options she would buy the sports bra
Emily, Leggings, 80, 70, 85, 
Michael, Shoes, 10, 50, 20, 
Michael, ChefT-Shirt, 5, 80, 5, 
Michael, TrendT-Shirt, 5, 80, 5, 
Michael, FullZip, 30, 40, 30, 
Michael, SportsBra, 5, 40, 5, 
Michael, Leggings, 5, 40, 5, 
Sarah, Shoes, 70, 80, 80,  If these were on sale she would buy the shoes
Sarah, ChefT-Shirt, 80, 90, 90, 
Sarah, TrendT-Shirt, 75, 90, 70,  If the shirt design was more unique she would consider buying it
Sarah, FullZip, 60, 50, 60,  If the full zip had a trendier style she would consider buying it
Sarah, SportsBra, 80, 70, 80,  If this were on sale she would consider purchasing it
Sarah, Leggings, 80, 75, 80,  If these had pockets she would buy the leggings
David, Shoes, 10, 30, 10, 
David, ChefT-Shirt, 5, 60, 5, 
David, TrendT-Shirt, 5, 60, 5, 
David, FullZip, 10, 20, 10, 
David, SportsBra, 5, 20, 5, 
David, Leggings, 5, 20, 5, 
Alex, Shoes, 60, 70, 70,  If the shoes were available in more neutral colors he would consider buying them
Alex, ChefT-Shirt, 70, 80, 80,  If the shirt had a more unique design he would buy the shirt
Alex, TrendT-Shirt, 60, 80, 60,  If the T-shirt was a more interesting color he would consider purchasing it
Alex, FullZip, 85, 70, 90, 
Alex, SportsBra, 70, 75, 75,  If the sports bra was made by a sustainable brand he would buy it
Alex, Leggings, 80, 70, 80,  If the leggings had interesting textures he would buy them
Carlos, Shoes, 30, 40, 30, 
Carlos, ChefT-Shirt, 10, 70, 10, 
Carlos, TrendT-Shirt, 10, 70, 10, 
Carlos, FullZip, 40, 30, 40, 
Carlos, SportsBra, 10, 30, 10, 
Carlos, Leggings, 10, 30, 10, 
Lisa, Shoes, 40, 70, 30, 
Lisa, ChefT-Shirt, 70, 90, 80,  If the chef T-shirt was available for women she would consider purchasing it
Lisa, TrendT-Shirt, 60, 90, 70,  If there were more reviews for the T-shirt she would consider purchasing it
Lisa, FullZip, 75, 60, 70,  If the full zip was machine washable she would buy the full zip
Lisa, SportsBra, 60, 60, 60,  If the sports bra had additional support she would consider purchasing it
Lisa, Leggings, 70, 60, 70,  If the leggings had pockets she would buy them
Brandon, Shoes, 30, 60, 20, 
Brandon, ChefT-Shirt, 20, 70, 10, 
Brandon, TrendT-Shirt, 20, 70, 10, 
Brandon, FullZip, 60, 40, 50,  If the full zip was more durable and weather-resistant he would consider buying it
Brandon, SportsBra, 5, 30, 5, 
Brandon, Leggings, 5, 30, 5, 
Katie, Shoes, 40, 60, 40, 
Katie, ChefT-Shirt, 40, 80, 30, 
Katie, TrendT-Shirt, 30, 80, 20, 
Katie, FullZip, 80, 70, 80, 
Katie, SportsBra, 80, 70, 80, 
Katie, Leggings, 85, 70, 80, 
Sean, Shoes, 10, 30, 10, 
Sean, ChefT-Shirt, 5, 60, 5, 
Sean, TrendT-Shirt, 5, 60, 5, 
Sean, FullZip, 20, 40, 20, 
Sean, SportsBra, 5, 40, 5, 
Sean, Leggings, 5, 40, 5, 
Emily, Project Rock Shoes, 75, 65, 85,  If they were a more neutral color to match with more outfits she would buy them
Michael, Fleece Grid Full-Zip, 70, 60, 65,  If it was a more common brand he recognized for reliability he would buy it
Sarah, Meridian Mesh Shorts, 85, 90, 90, 
David, Heavyweight Long Sleeve, 30, 70, 25, 
Alex, Apparition Shoes, 90, 70, 95, 
Carlos, Project Rock Shoes, 60, 50, 70,  If there were case studies available on its performance he might buy it
Lisa, Fleece Hoodie, 70, 80, 75,  If other parents recommended it for durability and comfort she would buy it
Brandon, Heavyweight Long Sleeve, 85, 90, 70, 
Katie, Meridian Mesh Shorts, 50, 60, 70, 
Sean, Unstoppable Fleece Grid, 30, 40, 30, 
Emily, Curry Fox 1,50,60,40, Not a priority item would consider if it were more affordable or had a clear professional benefit
Emily, Icon Hoodie,65,70,70, If it came in a more neutral color it could be used as a professional casual option
Emily, HeatGear Sleeve,30,50,20, 
Emily, Boxerjock,40,80,30, 
Emily, Icon Shorts,50,70,50, If they were marketed as good for athleisure she would consider purchasing
Emily, Project Rock,70,75,75, If they were a bit more versatile for both work and workouts she would consider buying them
Michael, Curry Fox 1,20,30,20, 
Michael, Icon Hoodie,75,65,70, A darker more practical color would increase the likelihood of purchase
