Filename,Total Score,Scores >= 80,Scores 65-79,Scores < 80,Average Price,Average Design
reviews_2_Apparition_Shoes.csv,600,2,4,8,61.0,60.5
reviews_3_Men_s_UA_Icon_Fleece_Shorts.csv,735,4,4,6,67.0,73.0
reviews_3_Men_s_Project_Rock_BSR_5_Training_Shoes.csv,550,2,2,8,53.5,55.5
reviews_1_Women_s_Project_Rock_Woven_Full_Zip.csv,490,3,2,7,31.0,48.0
reviews_3_Men_s_UA_Icon_Fleece_Full_Zip_Hoodie.csv,755,4,5,6,67.0,74.0
reviews_2_Project_Rock_7_Shoes.csv,575,1,4,9,49.0,61.5
reviews_3_Men_s_HeatGear_OG_Compression_Long_Sleeve.csv,670,3,3,7,72.5,67.0
reviews_2_Unstoppable_Fleece_Grid_Full_Zip.csv,620,2,2,8,64.0,65.5
reviews_3_Men_s_UA_Performance_Tech_Mesh_Graphic_6_Boxerjock_.csv,295,2,0,8,86.0,29.0
reviews_4_Men_s_UA_Icon_Charged_Cotton_Short_Sleeve.csv,770,6,3,4,85.0,72.0
reviews_2_Heavyweight_Tonal_Wordmark_Long_Sleeve.csv,645,4,1,6,76.0,65.5
reviews_4_Men_s_UA_Phantom_1_Shoes.csv,460,1,2,9,56.0,46.0
reviews_4_Men_s_UA_Unstoppable_Tapered_Pants.csv,640,5,0,5,70.0,63.0
reviews_1_Pre_School_Curry_12_What_The_Bay_Basketball_Shoes.csv,350,2,0,8,31.0,40.0
reviews_2_Meridian_Mesh_7_Shorts.csv,450,4,0,6,47.5,46.0
reviews_1_Boys_Curry_Trend_T_Shirt.csv,330,0,2,10,64.0,35.0
reviews_1_Women_s_Project_Rock_Mid_Sports_Bra.csv,490,3,2,7,38.0,48.0
reviews_4_Unisex_UA_SpeedForm_Gemini_Running_Shoes.csv,530,2,2,8,58.0,53.0
reviews_4_Unisex_UA_SlipSpeed_Mega_Fade_Shoes.csv,500,2,2,8,58.0,50.0
reviews_4_Men_s_UA_Left_Chest_Logo_Short_Sleeve.csv,780,7,2,3,88.0,73.0
reviews_3_Unisex_Curry_Fox_1_Reign_Rose_Basketball_Shoes.csv,470,2,1,8,45.0,52.0
reviews_2_Unstoppable_Fleece_Hoodie.csv,670,3,4,7,70.0,70.0
reviews_1_Women_s_Project_Rock_Ankle_Leggings.csv,490,3,2,7,33.0,48.0
reviews_1_Boys_Curry_Chef_T_Shirt.csv,330,0,2,10,64.0,35.0
