Name,Product,Score,Price,Design,Reason
Emily,Boys' Curry Chef T-Shirt,20,80,30,
Michael,Boys' Curry Chef T-Shirt,5,60,10,
Sarah,Boys' Curry Chef T-Shirt,60,90,70,"If the T-shirt was slightly oversized and had a more unique design, she'd buy it."
David,Boys' Curry Chef T-Shirt,5,70,10,
Alex,Boys' Curry Chef T-Shirt,50,80,70,
Carlos,Boys' Curry Chef T-Shirt,10,70,10,
Lisa,Boys' Curry Chef T-Shirt,80,90,80,
Brandon,Boys' Curry Chef T-Shirt,10,70,20,
Katie,Boys' Curry Chef T-Shirt,20,80,30,
Sean,Boys' Curry Chef T-Shirt,5,50,10,
