Name,Product,Score,Price,Design,Reason
Emily,Boys' Curry Trend T-Shirt,20,80,30,
Michael,Boys' Curry Trend T-Shirt,5,60,10,
Sarah,Boys' Curry Trend T-Shirt,60,90,70,"If the T-shirt was slightly oversized and had a more unique design, she'd buy it."
David,Boys' Curry Trend T-Shirt,5,70,10,
Alex,Boys' Curry Trend T-Shirt,50,80,70,
Carlos,Boys' Curry Trend T-Shirt,10,70,10,
Lisa,Boys' Curry Trend T-Shirt,80,90,80,
Brandon,Boys' Curry Trend T-Shirt,10,70,20,
Katie,Boys' Curry Trend T-Shirt,20,80,30,
Sean,Boys' Curry Trend T-Shirt,5,50,10,
