Name,Product,Score,Price,Design,Reason
Emily,Dress (Under $30),70,90,70,"If the dress came in a more versatile color, Emily would purchase it."
Michael,Dress (Under $30),5,90,5,
Sarah,Dress (Under $30),90,95,90,
David,Dress (Under $30),10,80,10,
Alex,Dress (Under $30),60,80,70,"If the dress had a more unique design, Alex would buy it."
Carlos,Dress (Under $30),10,80,10,
Lisa,Dress (Under $30),40,90,40,
Brandon,Dress (Under $30),5,70,5,
Katie,Dress (Under $30),70,90,70,"If the material was comfortable and durable, Katie would purchase it."
Sean,Dress (Under $30),5,70,5,
