Name,Product,Score,Price,Design,Reason
Emily,Pre-School Curry 12 'What The Bay' Basketball Shoes,30,40,60,
Michael,Pre-School Curry 12 'What The Bay' Basketball Shoes,10,20,10,
Sarah,Pre-School Curry 12 'What The Bay' Basketball Shoes,70,60,80,"If the shoes were more in line with the current TikTok trends, she'd buy it."
David,Pre-School Curry 12 'What The Bay' Basketball Shoes,5,20,10,
Alex,Pre-School Curry 12 'What The Bay' Basketball Shoes,40,40,60,
Carlos,Pre-School Curry 12 'What The Bay' Basketball Shoes,10,20,10,
Lisa,Pre-School Curry 12 'What The Bay' Basketball Shoes,80,50,70,"If the shoes were on sale, she'd buy it."
Brandon,Pre-School Curry 12 'What The Bay' Basketball Shoes,30,40,30,
Katie,Pre-School Curry 12 'What The Bay' Basketball Shoes,50,50,60,
Sean,Pre-School Curry 12 'What The Bay' Basketball Shoes,5,10,10,
