Name,Product,Score,Price,Design,Reason
Emily,Apparition Shoes,60,65,60,"If they looked more modern and less bulky, she would be more likely to buy them."
Michael,Apparition Shoes,80,80,80,If they were on sale he would buy them.
Sarah,Apparition Shoes,70,75,70,If the shoes were trending on TikTok she would be more likely to buy them.
David,Apparition Shoes,30,40,30,
Alex,Apparition Shoes,65,60,70,"If they were part of a collaboration with a known artist, he would be more likely to buy them."
Carlos,Apparition Shoes,40,40,40,
Lisa,Apparition Shoes,65,70,60,If the shoes were easy to clean she would buy them.
Brandon,Apparition Shoes,85,80,80,
Katie,Apparition Shoes,65,60,65,If the shoes had better arch support she would be more likely to buy them.
Sean,Apparition Shoes,40,40,50,
