Name,Product,Score,Price,Design,Reason
Emily,"Meridian Mesh 7"" Shorts",85,75,90,
Michael,"Meridian Mesh 7"" Shorts",20,40,20,
Sarah,"Meridian Mesh 7"" Shorts",95,90,95,
David,"Meridian Mesh 7"" Shorts",10,20,10,
Alex,"Meridian Mesh 7"" Shorts",80,75,85,If they were made from recycled materials he would be more likely to buy them.
Carlos,"Meridian Mesh 7"" Shorts",20,30,20,
Lisa,"Meridian Mesh 7"" Shorts",30,30,30,
Brandon,"Meridian Mesh 7"" Shorts",10,20,10,
Katie,"Meridian Mesh 7"" Shorts",90,85,90,
Sean,"Meridian Mesh 7"" Shorts",10,10,10,
