Name,Product,Score,Price,Design,Reason
Emily,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",30,80,20,
Michael,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,80,10,
Sarah,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",90,90,95,
David,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,90,10,
Alex,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",95,80,95,
Carlos,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,80,10,
Lisa,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,90,10,
Brandon,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,90,10,
Katie,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",20,90,20,
Sean,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,90,10,
