Name,Product,Score,Price,Design,Reason
Emily,UA Apparition Shoes,40,60,40,
Michael,UA Apparition Shoes,65,70,70,"If the shoes had better reviews for long-term comfort, I would buy them."
Sarah,UA Apparition Shoes,80,75,85,
David,UA Apparition Shoes,30,40,30,
Alex,UA Apparition Shoes,70,50,80,"If the shoes came in more unique color combinations, I would buy them."
Carlos,UA Apparition Shoes,50,40,60,
Lisa,UA Apparition Shoes,50,50,50,
Brandon,UA Apparition Shoes,70,75,70,"If the shoes had steel toe reinforcement, I would buy them."
Katie,UA Apparition Shoes,70,70,70,"If the shoes were made from recycled materials, I would buy them."
Sean,UA Apparition Shoes,20,30,20,
