Name,Product,Score,Price,Design,Reason
Emily,UA Heavyweight Tonal Wordmark Long Sleeve,30,70,20,
Michael,UA Heavyweight Tonal Wordmark Long Sleeve,40,60,40,
Sarah,UA Heavyweight Tonal Wordmark Long Sleeve,70,80,70,"If the long sleeve had trendier graphics, I would buy it."
David,UA Heavyweight Tonal Wordmark Long Sleeve,60,70,60,"If the long sleeve came in more traditional colors, I would buy it."
Alex,UA Heavyweight Tonal Wordmark Long Sleeve,85,70,90,
Carlos,UA Heavyweight Tonal Wordmark Long Sleeve,20,50,20,
Lisa,UA Heavyweight Tonal Wordmark Long Sleeve,50,70,50,
Brandon,UA Heavyweight Tonal Wordmark Long Sleeve,70,80,70,"If the long sleeve was flame-resistant, I would buy it."
Katie,UA Heavyweight Tonal Wordmark Long Sleeve,70,70,70,"If the long sleeve was made from organic cotton, I would buy it."
Sean,UA Heavyweight Tonal Wordmark Long Sleeve,50,60,50,
