Name,Product,Score,Price,Design,Reason
Emily,"UA Meridian Mesh 7"" Shorts",85,75,85,
Michael,"UA Meridian Mesh 7"" Shorts",10,20,10,
Sarah,"UA Meridian Mesh 7"" Shorts",90,90,95,
David,"UA Meridian Mesh 7"" Shorts",5,5,5,
Alex,"UA Meridian Mesh 7"" Shorts",85,70,90,
Carlos,"UA Meridian Mesh 7"" Shorts",20,30,20,
Lisa,"UA Meridian Mesh 7"" Shorts",20,30,20,
Brandon,"UA Meridian Mesh 7"" Shorts",10,10,10,
Katie,"UA Meridian Mesh 7"" Shorts",70,70,70,"If the shorts had pockets large enough for my phone, I would buy them."
Sean,"UA Meridian Mesh 7"" Shorts",10,20,10,
