Name,Product,Score,Price,Design,Reason
Emily,Men's UA Icon Charged Cotton Short Sleeve,70,75,65,"If it was made of a more sustainable material, I would be more likely to buy it."
Michael,Men's UA Icon Charged Cotton Short Sleeve,90,85,80,
Sarah,Men's UA Icon Charged Cotton Short Sleeve,90,90,90,
David,Men's UA Icon Charged Cotton Short Sleeve,60,70,60,A clear endorsement from a trusted source is what would make me buy this.
Alex,Men's UA Icon Charged Cotton Short Sleeve,90,80,90,
Carlos,Men's UA Icon Charged Cotton Short Sleeve,85,80,80,
Lisa,Men's UA Icon Charged Cotton Short Sleeve,70,80,60,A recommendation from the online parenting community is what it would take for me to purchase this.
Brandon,Men's UA Icon Charged Cotton Short Sleeve,80,90,70,A version with added reinforcement for outdoor work would be an instant purchase.
Katie,Men's UA Icon Charged Cotton Short Sleeve,90,80,80,
Sean,Men's UA Icon Charged Cotton Short Sleeve,60,70,50,A comprehensive review from a respected academic source is what would make me buy this.
