Name,Product,Score,Price,Design,Reason
Emily,Women's Project Rock Woven Full-Zip,70,60,70,"If it was a more neutral color palette, she would buy it."
Michael,Women's Project Rock Woven Full-Zip,20,30,30,
Sarah,Women's Project Rock Woven Full-Zip,75,60,75,"If it was on sale, she would buy it."
David,Women's Project Rock Woven Full-Zip,5,10,5,
Alex,Women's Project Rock Woven Full-Zip,80,70,90,"If it was a slightly lower price, they would buy it."
Carlos,Women's Project Rock Woven Full-Zip,10,10,20,
Lisa,Women's Project Rock Woven Full-Zip,30,30,50,
Brandon,Women's Project Rock Woven Full-Zip,50,30,60,
Katie,Women's Project Rock Woven Full-Zip,70,60,70,"If the price was lower, she would buy it."
Sean,Women's Project Rock Woven Full-Zip,10,10,10,
